location_names,first_trip_month,last_trip_month,lat,lon,still_active,region
Gennessee St at Monterey Blvd,2019-06,2026-07,37.732,-122.451,True,SF
Mint St at Mission St,2019-08,2026-07,37.782,-122.407,True,SF
Utah St at 24th St,2019-08,2023-09,37.753,-122.405,False,SF
Natoma St at New Montgomery St,2019-08,2025-08,37.787,-122.4,False,SF
San Francisco Caltrain Station (King St at 4th St); San Francisco Caltrain Station East; San Francisco Caltrain North; San Francisco Caltrain Station - King St; San Francisco Caltrain Station - 4th St,2019-09,2026-07,37.776,-122.394,True,SF
Terry Francois Blvd at Warriors Way,2019-09,2026-07,37.769,-122.386,True,SF
Brannan St at 4th St,2019-09,2026-07,37.778,-122.397,True,SF
McAllister St at Arguello Blvd,2019-09,2026-07,37.775,-122.458,True,SF
Pier 1/2 at The Embarcadero; Pier 1/2 at The Embarcadero Overflow; Pier 1/2 at The Embarcadero Virtual Station,2019-09,2026-07,37.796,-122.395,True,SF
Chestnut St at Van Ness Ave,2019-09,2026-07,37.802,-122.425,True,SF
Cruise Terminal at Pier 27,2019-09,2026-07,37.804,-122.402,True,SF
Terry Francois Blvd at Mission Bay Blvd N,2019-09,2026-07,37.771,-122.387,True,SF
The Embarcadero at Pier 38,2019-09,2026-07,37.783,-122.388,True,SF
McKinnon Ave at 3rd St,2019-09,2026-07,37.736,-122.39,True,SF
Carroll Ave at 3rd St,2019-09,2026-07,37.725,-122.394,True,SF
Arguello Blvd at Geary Blvd,2019-09,2026-07,37.781,-122.459,True,SF
7th Ave at Cabrillo St,2019-09,2026-07,37.775,-122.465,True,SF
Heron's Head Park,2019-09,2026-07,37.74,-122.377,True,SF
Oakdale Ave at Phelps St,2019-09,2026-07,37.737,-122.394,True,SF
Jennings St at Revere Ave,2019-09,2026-07,37.729,-122.387,True,SF
Folsom St at 5th St,2019-10,2024-08,37.781,-122.403,False,SF
Brannan St at Colin P Kelly Jr St,2019-10,2026-07,37.782,-122.391,True,SF
14th Ave at Geary Blvd,2019-10,2026-07,37.78,-122.473,True,SF
Grove St at Gough St,2019-10,2026-07,37.778,-122.423,True,SF
Post St at Divisadero St,2019-10,2026-07,37.784,-122.439,True,SF
Quesada Ave at 3rd St,2019-10,2026-07,37.733,-122.391,True,SF
5th Ave at Anza St,2019-10,2026-07,37.779,-122.463,True,SF
Turk Blvd at Stanyan St,2019-10,2026-07,37.778,-122.455,True,SF
Ellis St at Pierce St; Pierce St at Ellis St,2019-10,2026-07,37.782,-122.436,True,SF
Evans Ave at Mendell St,2019-10,2026-07,37.74,-122.384,True,SF
Steiner St at California St,2019-11,2026-07,37.789,-122.435,True,SF
Folsom St at 7th St,2019-11,2024-10,37.777,-122.408,False,SF
Powell St at Columbus Ave,2019-11,2026-07,37.8,-122.411,True,SF
O'Farrell St at Masonic Ave,2019-11,2026-07,37.781,-122.447,True,SF
17th Ave at Geary Blvd,2019-11,2026-07,37.781,-122.476,True,SF
Funston Ave at Fulton St,2019-11,2026-07,37.773,-122.471,True,SF
7th St at King St,2019-11,2026-07,37.771,-122.401,True,SF
9th Ave at Geary Blvd,2019-11,2026-07,37.782,-122.468,True,SF
Funston Ave at Clement St,2019-11,2026-07,37.782,-122.472,True,SF
Arguello Blvd at Edward St,2019-11,2026-07,37.778,-122.459,True,SF
Greenwich St at Franklin St,2019-11,2026-07,37.8,-122.426,True,SF
Webster St at Clay St,2019-11,2026-07,37.791,-122.433,True,SF
Egbert Ave at Jennings St,2019-11,2026-07,37.723,-122.392,True,SF
Frederick St at Arguello Blvd,2019-12,2026-07,37.766,-122.458,True,SF
Frida Kahlo Way at Cloud Cir,2019-12,2026-07,37.726,-122.452,True,SF
Funston Ave at Irving St,2020-01,2026-07,37.764,-122.471,True,SF
Market St at Steuart St,2020-01,2026-07,37.794,-122.395,True,SF
Battery St at Filbert St,2020-01,2026-07,37.802,-122.402,True,SF
Otis St at Brady St,2020-01,2026-07,37.772,-122.42,True,SF
10th Ave at Irving St,2020-01,2026-07,37.764,-122.467,True,SF
7th Ave at Irving St,2020-01,2026-07,37.763,-122.464,True,SF
7th Ave at Clement St,2020-01,2026-07,37.782,-122.465,True,SF
Howard St at 6th St,2020-02,2026-07,37.78,-122.406,True,SF
Post St at Webster St,2020-02,2026-07,37.785,-122.432,True,SF
Anza St at Collins St,2020-02,2026-07,37.781,-122.45,True,SF
Divisadero St at Clay St,2020-02,2026-07,37.79,-122.441,True,SF
St. Joseph's Ave at Geary Blvd; St Joseph's Ave at Geary Blvd; Saint Joseph's Ave at Geary Blvd,2020-02,2026-07,37.783,-122.442,True,SF
Evans Ave at Newhall St,2020-02,2026-07,37.742,-122.387,True,SF
Green St at Van Ness Ave,2020-03,2026-07,37.798,-122.424,True,SF
48th Ave at Cabrillo St,2020-03,2026-07,37.773,-122.509,True,SF
23rd Ave at Clement St,2020-03,2026-07,37.782,-122.483,True,SF
Alameda St at Henry Adams St,2020-03,2026-07,37.769,-122.404,True,SF
Clement St at 32nd Ave,2020-03,2026-07,37.782,-122.493,True,SF
18th Ave at California St,2020-03,2026-07,37.785,-122.478,True,SF
Spruce St at California St,2020-03,2026-07,37.787,-122.453,True,SF
Laurel St at California St,2020-03,2026-07,37.787,-122.45,True,SF
22nd St at Potrero Ave,2020-03,2026-07,37.757,-122.406,True,SF
Minnesota St Depot; SF Depot-2 (Minnesota St Outbound); SF Depot-2 (Minnesota St Incoming); Minnesota St Depot (Outgoing),2020-05,2026-07,37.755,-122.39,True,SF
28th Ave at Geary Blvd,2020-06,2023-09,37.78,-122.488,False,SF
Stanyan St at Geary Blvd,2020-06,2026-07,37.781,-122.456,True,SF
38th Ave at Balboa St,2020-06,2026-07,37.776,-122.498,True,SF
34th Ave at Balboa St,2020-06,2026-07,37.776,-122.494,True,SF
21st Ave at Geary Blvd,2020-06,2023-09,37.78,-122.48,False,SF
Tehama St at 1st St,2020-06,2026-07,37.788,-122.395,True,SF
Post St at Baker St,2020-06,2026-07,37.784,-122.443,True,SF
Front St at California St,2020-07,2026-07,37.793,-122.399,True,SF
Arlington St at Roanoke St,2020-07,2026-07,37.735,-122.43,True,SF
Fulton St at Laguna St,2020-07,2026-07,37.778,-122.426,True,SF
Alemany Blvd at Silver Ave,2020-07,2026-07,37.73,-122.433,True,SF
Delano Ave at Oneida Ave,2020-07,2026-07,37.722,-122.444,True,SF
Townsend St at 6th St,2020-08,2026-07,37.773,-122.4,True,SF
Haight St at Lyon St,2020-08,2026-07,37.771,-122.442,True,SF
Eucalyptus Dr at 20th Ave,2020-09,2026-07,37.731,-122.476,True,SF
Font Blvd at Arballo Dr,2020-09,2026-07,37.722,-122.483,True,SF
Holloway Ave at Arellano Ave,2020-09,2026-07,37.721,-122.479,True,SF
Great Hwy at Balboa St; Great Highway at Balboa St,2020-09,2026-07,37.775,-122.511,True,SF
Fillmore St at Jefferson St,2020-10,2026-07,37.805,-122.437,True,SF
Allyne Park (Green St at Gough St); Allyne Park,2020-10,2026-07,37.797,-122.427,True,SF
London St at Geneva Ave,2020-10,2026-07,37.716,-122.44,True,SF
7th Ave at Lawton St,2020-11,2026-07,37.759,-122.464,True,SF
North Point St at Grant Ave,2021-03,2026-07,37.807,-122.409,True,SF
North Point St at Polk St,2021-03,2026-07,37.805,-122.423,True,SF
Jennings St at Egbert Ave,2021-03,2021-05,37.723,-122.393,False,SF
Powell St at Bay St,2021-03,2021-05,37.806,-122.412,False,SF
Greenwich St at Gough St,2021-03,2026-07,37.8,-122.427,True,SF
Cesar Chavez St at Michigan St,2021-04,2022-07,37.75,-122.386,False,SF
Lab - Howard; Old Hastings Monolith; Firmware Test Internal Howard ,2021-05,2023-10,37.775,-122.414,False,SF
North Point St at Powell St,2021-05,2026-07,37.807,-122.411,True,SF
Bush St at Polk St,2021-06,2022-01,37.789,-122.421,False,SF
Washington St at Van Ness Ave,2021-07,2026-07,37.793,-122.423,True,SF
Lyon St at Fell St,2021-12,2026-07,37.774,-122.443,True,SF
Page St at Masonic Ave,2022-01,2026-07,37.771,-122.445,True,SF
Polk St at Post St,2022-01,2026-07,37.787,-122.42,True,SF
4th St at Gene Friend Way,2022-01,2026-07,37.769,-122.391,True,SF
4th St at Long Bridge St,2022-01,2026-07,37.774,-122.391,True,SF
Hospital St at Mariposa St,2022-01,2026-07,37.765,-122.391,True,SF
Montgomery St at Pacific Ave,2022-01,2026-07,37.797,-122.404,True,SF
Lafayette Park (Laguna St at Washington St); Lafayette Park,2022-01,2026-07,37.792,-122.429,True,SF
Anza Ave at Lincoln Blvd; Lincoln Blvd at Graham St,2022-02,2026-07,37.802,-122.456,True,SF
Lyon St at Lombard St,2022-02,2026-07,37.798,-122.447,True,SF
Waller St at Stanyan St,2022-02,2023-06,37.768,-122.453,False,SF
Torney Ave at Lincoln Blvd,2022-02,2026-07,37.8,-122.453,True,SF
Scott St at California St,2022-02,2026-07,37.788,-122.439,True,SF
MacArthur Ave at Fernandez St,2022-02,2026-07,37.797,-122.456,True,SF
Alemany Blvd at Francis St,2022-02,2026-07,37.727,-122.436,True,SF
Brighton Ave at Ocean Ave,2022-02,2026-07,37.723,-122.455,True,SF
SFSU University Park North - East; SFSU Park East,2022-02,2026-07,37.726,-122.477,True,SF
SFSU University Park North - West; SFSU Park West,2022-02,2026-07,37.726,-122.479,True,SF
Balboa Park (San Jose Ave at Sgt. John V. Young Ln); Balboa Park,2022-02,2026-07,37.725,-122.443,True,SF
X-DEV-MTL-01; China Basin Park,2022-02,2026-07,37.776,-122.388,True,SF
Brannan St at Harriet St,2022-03,2026-07,37.774,-122.402,True,SF
Battery St at California St; Battery Street at California St,2022-03,2022-10,37.793,-122.4,False,SF
Irving St at 18th Ave,2022-03,2023-02,37.764,-122.477,False,SF
Howard St at Grace St; *Howard St at Grace St,2022-03,2026-07,37.774,-122.414,True,SF
25th Ave at Irving St,2022-03,2026-07,37.763,-122.484,True,SF
Irving St at 21st Ave,2022-03,2026-07,37.764,-122.479,True,SF
Post St at Laguna St (Temporary for Post St at Webster),2022-04,2022-04,37.786,-122.428,False,SF
Divisadero St at Lombard St,2022-04,2026-07,37.799,-122.443,True,SF
Hearst Ave at Detroit St; Detroit St at Hearst Ave,2022-04,2026-07,37.731,-122.444,True,SF
Grant Ave at Sutter St,2022-05,2026-07,37.79,-122.405,True,SF
Laguna St at Grove St (Fulton St at Laguna St); Laguna St at Grove St,2022-07,2024-12,37.778,-122.427,False,SF
Mason St at Halleck St,2022-07,2026-07,37.804,-122.455,True,SF
4040 3rd St Depot Station,2022-07,2022-10,37.741,-122.389,False,SF
Folsom St at Main St,2022-09,2026-07,37.789,-122.392,True,SF
Berry St at 4th St Station 2; Berry St at 4th St Station 2*; S Park St at 2nd St; Delancey St at Brannan St,2022-09,2026-07,37.78,-122.39,True,SF
Howard Grace #2; Berry St at 4th St*; Howard Internal Monolith; Howard St at Grace St*; Lab - NYC - Monolith; Howard Internal Monolith - IoT,2022-09,2026-07,37.77,-122.41,True,SF
Webster St at Union St,2022-09,2026-07,37.797,-122.434,True,SF
Hardly Strictly Bluegrass; Hardly Strictly Bluegrass(Temporary Station); Outside Lands; Outside Lands-Temp (John F Kennedy Dr at Transverse Dr),2022-09,2025-10,37.771,-122.479,False,SF
Clay St at Lyon St,2022-10,2026-07,37.789,-122.445,True,SF
Harrison St at 14th St,2022-11,2026-07,37.769,-122.414,True,SF
McAllister St at Franklin St,2022-11,2023-05,37.78,-122.423,False,SF
Clement St at Funston Ave,2023-01,2023-07,37.783,-122.472,False,SF
14th Ave at Fulton St (Temp for Funston/Fulton),2023-01,2023-07,37.773,-122.472,False,SF
26th Ave at Noriega St; 21st Ave at Noriega St,2023-02,2026-07,37.75,-122.48,True,SF
Octavia St at Hayes St,2023-02,2023-06,37.78,-122.42,False,SF
41st Ave at Irving St; 36th Ave at Irving St; 36th Ave at Kirkham St; 43rd Ave at Lawton St,2023-02,2026-07,37.76,-122.5,True,SF
30th Ave at Noriega St,2023-02,2026-07,37.75,-122.49,True,SF
Irving St at 17th Ave,2023-02,2026-07,37.76,-122.48,True,SF
La Playa St at Lincoln Way,2023-02,2026-07,37.76,-122.51,True,SF
45th Ave at Noriega St; Ortega St at 40th Ave; 37th Ave at Ortega St,2023-03,2026-07,37.75,-122.5,True,SF
Francisco St at Columbus Ave,2023-03,2026-07,37.8,-122.42,True,SF
Lower Great Hwy at Noriega St,2023-03,2024-05,37.75,-122.51,False,SF
Hudson Ave at 3rd St,2023-03,2026-07,37.74,-122.39,True,SF
Post St at Laguna St,2023-04,2026-04,37.79,-122.43,False,SF
Mabini St at Folsom St,2023-04,2026-07,37.78,-122.4,True,SF
Scott St at Turk St,2023-05,2023-09,37.78,-122.437,False,SF
Taylor St at Columbus Ave,2023-05,2026-07,37.803,-122.415,True,SF
Waller St at Shrader St,2023-06,2026-07,37.768,-122.452,True,SF
24th St BART Station; 24th St BART,2023-06,2026-07,37.752,-122.419,True,SF
Mason St at Bay St,2023-07,2026-07,37.805,-122.414,True,SF
Stowe Lake; Blue Heron Lake,2023-08,2026-07,37.771,-122.477,True,SF
Martin Luther King Dr at 7th Ave; MLK Dr at 7th Ave; MLK Jr Dr at 7th Ave,2023-08,2026-07,37.767,-122.464,True,SF
8th Ave at John F Kennedy Dr; 8th Ave at JFK Dr,2023-08,2026-07,37.773,-122.466,True,SF
Bowling Green,2023-08,2026-07,37.769,-122.459,True,SF
36th Ave at Spreckels Lake Dr,2023-08,2026-07,37.771,-122.496,True,SF
Pompei Circle at John F Kennedy Dr; Pompei Circle at JFK Dr,2023-08,2026-07,37.772,-122.458,True,SF
John F Kennedy Dr at Great Hwy; JFK Dr at Great Hwy; JFK Dr at Great Highway,2023-08,2026-07,37.77,-122.511,True,SF
South Lake,2023-08,2026-07,37.765,-122.501,True,SF
Chain O' Lakes,2023-08,2026-07,37.768,-122.502,True,SF
26th Ave at Clement St,2023-09,2026-07,37.782,-122.486,True,SF
Anza St at 19th Ave,2023-09,2026-07,37.779,-122.478,True,SF
Russia Ave at Madrid St,2023-09,2026-07,37.72,-122.434,True,SF
Crocker-Amazon Playground (Geneva Ave at Moscow St); Crocker-Amazon Playground,2023-09,2026-07,37.713,-122.433,True,SF
Brazil Ave at La Grande Ave,2023-09,2026-07,37.72,-122.425,True,SF
Alemany Blvd at Ocean Ave,2023-09,2026-07,37.723,-122.438,True,SF
Larkin St at California St,2023-10,2026-07,37.791,-122.419,True,SF
Ocean Blvd at Lagunitas Dr to Junipero Sera Blvd; Ocean Blvd: Lagunitas Dr to Junipero Sera Blvd,2023-11,2024-04,37.732,-122.473,False,SF
Jackson St at Sansome St,2023-11,2026-07,37.797,-122.402,True,SF
West Portal Ave at 15th Ave to Ulloa St East,2023-11,2023-11,37.74,-122.467,False,SF
Laguna Honda Hospital; LH1,2023-11,2026-07,37.749,-122.457,True,SF
Quintara St at 22nd Ave to 21st Ave,2023-11,2023-11,37.749,-122.479,False,SF
Lloyd Lake,2023-11,2026-07,37.77,-122.482,True,SF
Firmware Test Charging Internal Howard ; Test,2023-11,2026-07,37.751,-122.403,True,SF
Taraval St at 27th Ave to 25th Ave,2023-11,2026-07,37.743,-122.483,True,SF
